name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
 Jong Seok,3018,0,0,0.1,0,97.2,0,2.7
 Lam Loan,3069,8.8,0,1.2,0,87,0,3
 Lam Loan,3076,0.3,0,0,0.1,0.2,0,99.4
 Lam Loan,3085,0,0,0,0,0.1,0,99.8
 Lam Loan,3087,0,0,0.3,0.1,0.6,0,99
 Lam Loan,3091,0.2,0,0.1,0.1,0.2,0,99.4
Cha Tae Sik,3140,0.1,0,0.3,1.1,3.5,0,95
Cha Tae Sik,3149,0,0,0.1,0,99.9,0,0
Cha Tae Sik,3153,0.1,0,0,0,10.8,0,89.1
Cha Tae Sik,3162,0,0,0.1,0,99.9,0,0
Cha Tae Sik,3170,0,0,13.5,0,86.5,0,0
Cha Tae Sik,3183,0,0,0,0,1.9,0,98.1
Cha Tae Sik,3192,1,0,1.6,0.1,27.8,0.1,69.3
Cha Tae Sik,3216,0,0,0,0,13.3,0,86.7
Cha Tae Sik,3230,0.8,0,0.4,0,98.6,0,0.3
Cha Tae Sik,3347,0,0,0,0,99.1,0,0.9
Cha Tae Sik,3373,0,0,0,0,99.9,0,0
Cha Tae Sik,3374,0,0,3.3,0,96.7,0,0
Cha Tae Sik,3389,1.1,0,2.3,0,94.9,0,1.7
Cha Tae Sik,3393,0.7,0,2.6,0.1,93.6,0,3
 Man Seok,3394,3.5,0,0,0,69.3,0,27.2
Cha Tae Sik,3396,0,0,0,0,100,0,0
 Man Seok,3396,0,0,0,0,0.7,0,99.3
 Man Seok,3400,0.1,0,0,79.7,0.1,0,20.2
 Jong Seok,3438,1,0,0.8,0,68.9,0,29.3
 Jong Seok,3440,0,0,4.6,0.3,83.2,0,11.9
 Jong Seok,3441,1.1,0,0,0,98.8,0,0.1
 Jong Seok,3443,0,0,0,0,99.9,0,0
 Man Seok,3444,0.1,0,1,0,68,0,30.9
 Jong Seok,3444,0,0,0.9,0,99.1,0,0
Cha Tae Sik,3531,0,0,0,0,3.9,0,96.1
Cha Tae Sik,3541,0,0,0,0,94.4,0,5.5
Cha Tae Sik,3547,0.2,0,1,0,97.5,0,1.2
Cha Tae Sik,3549,1.3,0,0.4,0,97.8,0,0.5
Cha Tae Sik,3555,90.9,0,4.7,4.3,0.1,0,0
Cha Tae Sik,3562,0,0,0,0,100,0,0
Cha Tae Sik,3573,0.1,0,8.7,0,90.8,0,0.4
Cha Tae Sik,3579,1,0,8.2,0,84.2,0,6.6
 Lam Loan,3583,0.9,0,0.1,0,21.7,0,77.3
 Lam Loan,3585,3.1,0,7.8,0,23.8,0,65.3
 Lam Loan,3597,0.5,0,0.2,0.1,2.5,0.1,96.6
 Lam Loan,3601,0.8,0,0,0.1,0.9,0,98.3
 Lam Loan,3605,13.6,0,5.7,0.3,29.5,0.2,50.6
 Lam Loan,3608,0.9,0,0,0,0.4,0,98.6
 Lam Loan,3610,5.6,0,0.2,0,10.5,0,83.7
 Lam Loan,3613,26.5,0,10.5,8.6,21.8,7,25.6
 Lam Loan,3615,0.1,0,0.1,0,66,0,33.8
 Lam Loan,3616,7,0,40.5,0,31.9,0,20.6
 Lam Loan,3622,0,0,85.5,0,14,0,0.4
 Lam Loan,3624,2.4,0,2.8,0,1,0,93.8
 Lam Loan,3629,99.5,0,0.3,0,0.2,0.1,0
Cha Tae Sik,3635,1.6,0,84,0,12,0,2.4
 Lam Loan,3636,40.3,0,47.4,2.9,7.5,0,1.8
 Lam Loan,3637,0.8,0,0.9,53.4,1.5,13.8,29.7
 Lam Loan,3641,7.3,0,0.8,0.2,72.5,0,19.2
Cha Tae Sik,3652,39.3,0,11.5,49,0,0.2,0
 Lam Loan,3653,16.1,0,6.9,0,33.6,0,43.4
 Lam Loan,3664,27.9,0,2.1,0,1.9,0,68
 Lam Loan,3665,60.3,0,2.3,0,37.3,0,0
 Lam Loan,3666,10.1,0,24.1,0,53.7,0,12.1
 Lam Loan,3668,65.2,0,25.5,8.3,0.5,0.5,0.1
 Lam Loan,3673,0.1,0.1,95.4,1.6,0.3,0.3,2.3
 Lam Loan,3681,0.1,0,0,0,2.3,0,97.6
Cha Tae Sik,3684,4.1,0,7.2,9.4,78.9,0,0.4
 Lam Loan,3709,0,0,0,0.1,58.2,0,41.7
Cha Tae Sik,3716,0.2,0,0,0,2.3,0,97.4
Cha Tae Sik,3725,0,0,0,0,100,0,0
Cha Tae Sik,3729,0,0,0,0,100,0,0
 Man Seok,3730,100,0,0,0,0,0,0
 Lam Loan,3732,0.8,0,1.1,0,91.4,0,6.7
 Man Seok,3732,0.5,0,0,30.5,14.3,0,54.8
 Man Seok,3736,0.9,0,0,99,0,0,0
 Man Seok,3739,47.9,0,0.3,0,51.5,0,0.3
 Man Seok,3740,3.4,0,0,13,32.4,0,51.2
 Man Seok,3741,100,0,0,0,0,0,0
 Man Seok,3743,0,0,17.7,0,13.6,0,68.7
 Lam Loan,3744,0,0,0,0,0,0,100
Cha Tae Sik,3746,0.3,0,0.2,0.1,3.7,0,95.8
 Lam Loan,3748,27.5,0,0.1,4.3,61.4,0,6.7
 Lam Loan,3749,1.4,0,0,0.3,3.9,0,94.4
Cha Tae Sik,3752,0.8,0,0,0,58,0,41.2
 Man Seok,3771,0.1,0,11.8,0,88.1,0,0
 Jong Seok,3771,0,0,0,0,3.1,0,96.8
 Jong Seok,3772,3.5,0,0,0.2,39.5,0,56.8
 Man Seok,3775,0,0,0.1,0,1.1,0,98.8
Cha Tae Sik,3776,0,0,0,0,100,0,0
Cha Tae Sik,3778,0,0,0.4,0,99.6,0,0
 Man Seok,3781,64.8,0,0.1,1.7,18.3,0.6,14.5
Cha Tae Sik,3783,1.2,0,0,88.7,0.2,0,9.8
Cha Tae Sik,3788,2.5,0,5.7,0,30.1,0,61.7
Cha Tae Sik,3806,0,0,21.1,3.9,74.9,0,0.1
Cha Tae Sik,3815,2.7,0,0,87,6.5,0,3.8
Cha Tae Sik,3819,0.8,0,12.1,0,86.1,0,1
Cha Tae Sik,3839,0,0,0,0,10.1,0,89.8
Cha Tae Sik,3840,4.5,0,15.7,0.1,26.2,0,53.5
 Lam Loan,3859,6.5,0,0.2,0,34.4,0,58.9
 Man Seok,3861,0,0,54.6,0,16.9,0,28.5
Cha Tae Sik,3866,6.9,0,12.6,0.6,40.4,0.7,38.9
 Man Seok,3868,0,0,97.9,0,2.1,0,0
Cha Tae Sik,3871,0,0,0,0,1.9,0,98.1
 Man Seok,3873,4.8,0,1.6,91.1,2.5,0,0
Cha Tae Sik,3874,0.6,0,0.8,0,67.3,0,31.3
 Man Seok,3878,2.1,0,18,0.7,66.6,0,12.6
Cha Tae Sik,3882,1.8,0,13.4,0,84.2,0,0.5
 Man Seok,3885,8.2,0,82.6,0,8.7,0,0.4
 Man Seok,3918,13.8,0,57.9,0,28.3,0,0
Cha Tae Sik,4249,53.9,0,0.2,13.9,14.1,3.6,14.2
Cha Tae Sik,4277,100,0,0,0,0,0,0
Cha Tae Sik,4281,98.7,0,0,0,1.3,0,0
Cha Tae Sik,4358,1.8,0,0,15.5,82.6,0,0
Cha Tae Sik,4387,99.9,0,0,0,0,0,0
Cha Tae Sik,4394,4.5,0,0.4,17.3,32.2,0,45.6
Cha Tae Sik,4406,15.2,0,1.8,0,4.7,0,78.2
Cha Tae Sik,4416,0.7,0,14.5,0.6,1.2,0,82.9
Cha Tae Sik,4419,3.3,0,0,19.3,0.2,0,77.2
Cha Tae Sik,4443,0,0,3.6,0,95.1,0,1.3
Cha Tae Sik,4467,6.1,0,0.2,0,44.8,0,48.9
Cha Tae Sik,4473,19.5,0,1.6,0,65.1,0,13.7
Cha Tae Sik,4480,7.4,0,0.4,0,86.4,0,5.8
Cha Tae Sik,4483,0,0,3.5,0.5,5.6,0,90.3
Cha Tae Sik,4491,6.4,0,0.4,0,89.3,0,4
Cha Tae Sik,4507,26.1,0,2,0.1,67.2,0,4.7
Cha Tae Sik,4511,0,0,0.6,0.2,22,0,77.2
Cha Tae Sik,4557,0,0,0.7,2.2,95.5,0,1.6
 Jeong So Mi,4560,0,0,0,0,1.5,0,98.5
 Jeong So Mi,4564,0,0,0,0,23.2,0,76.8
 Lam Loan,4617,0.1,0,0,0,99.8,0,0.1
 Jeong So Mi,4619,0,0,0.3,0,97.1,0,2.6
Cha Tae Sik,4627,14.6,0,7.4,0,36.3,0,41.7
Cha Tae Sik,4631,91.2,0,0.1,8.1,0.2,0,0.4
Cha Tae Sik,4638,90.9,0,0.9,0,0.5,0.2,7.5
Cha Tae Sik,4779,5.3,0,57.8,0,20.8,0,16
Cha Tae Sik,4805,0.5,0,19.5,0.3,43.7,0,36
Cha Tae Sik,4807,0,0,0,31,0,0,69
Cha Tae Sik,4812,69.7,13.3,5.4,0.2,9.8,0,1.4
Cha Tae Sik,4823,0,0,0,100,0,0,0
Cha Tae Sik,4869,0,0,0,0,100,0,0
Cha Tae Sik,4872,0,0,0,0,100,0,0
Cha Tae Sik,4901,0.2,0,1.8,0,97.7,0,0.4
Cha Tae Sik,4904,1.4,0,4.6,0.1,7.8,0,86.1
Cha Tae Sik,4925,81.4,0,2.8,4,10.6,0.6,0.7
Cha Tae Sik,4931,0.2,0,5.3,1.4,82.2,3.6,7.4
Cha Tae Sik,4934,3.6,0,0.1,11.1,13.8,0.8,70.7
Cha Tae Sik,4942,0,0,0.1,0,96.5,0,3.3
Cha Tae Sik,4944,0,0,0,0,0,0,100
Cha Tae Sik,4945,0.3,0,4.3,0,30.7,0,64.7
Cha Tae Sik,4954,0,0,98.4,0,1.6,0,0
Cha Tae Sik,4977,3.7,0,0,1.6,35,0,59.7
Cha Tae Sik,5024,0.2,0,0,0,0.7,0,99.1
Cha Tae Sik,5045,2.5,0,0.2,0.3,50.1,0,47
Cha Tae Sik,5062,4.5,0,0.2,0,45.4,0,49.9
Cha Tae Sik,5067,80.2,0,3.6,0.4,14.4,0,1.4
Cha Tae Sik,5072,0.9,0,0,0,7.9,0,91.2
Cha Tae Sik,5074,58.2,0,0,0,8.4,0,33.3
Cha Tae Sik,5075,60.4,0,0,1.7,5,2.3,30.6
Cha Tae Sik,5087,70.5,0,2.6,0,9.5,0,17.4
 Jong Seok,5090,0,0,0,0,3.5,0,96.4
Cha Tae Sik,5092,99.3,0,0.1,0,0.5,0,0.1
 Jong Seok,5093,2.2,0,0,0,63.2,0,34.6
 Jong Seok,5095,1.3,0,11.5,0.2,35.3,0,51.7
Cha Tae Sik,5099,98.6,0,0.9,0,0.4,0,0
Cha Tae Sik,5112,0,0,0,0,100,0,0
Cha Tae Sik,5118,0.4,0.2,0.8,0.8,41.7,0,56.1
Cha Tae Sik,5120,7.3,0,1.7,0,91,0,0
Cha Tae Sik,5130,6.3,0,0.1,0,85.9,0,7.7
Cha Tae Sik,5134,0.1,0,0.1,0,99.8,0,0
Cha Tae Sik,5138,0,0,27.4,0,0.3,0.7,71.6
Cha Tae Sik,5148,0,0,0,0.1,29.9,0,70
Cha Tae Sik,5163,55.4,0,0.2,1.1,24.7,3.2,15.4
Cha Tae Sik,5182,0.1,0,0.5,0,3.3,0,96.1
Cha Tae Sik,5186,0,0,0.1,0,0.9,0,99
Cha Tae Sik,5189,0.1,0,0.9,0,95.2,0,3.8
Cha Tae Sik,5193,2.2,0,0.3,0,67.4,0,30
Cha Tae Sik,5204,0.1,0,0.1,0,12.8,0,87.1
Cha Tae Sik,5207,0,0,0.2,0,92.9,0,6.8
Cha Tae Sik,5228,17.9,0,3.6,0,21.9,0.4,56.2
Cha Tae Sik,5240,56.4,0.1,2.2,0.5,24.5,5.2,11.1
 Jong Seok,5255,0,0,67.8,0,19.9,0,12.3
Cha Tae Sik,5258,23.9,0,1.1,0.7,58.6,0,15.7
 Jong Seok,5260,0,0,99.7,0,0.2,0,0.1
Cha Tae Sik,5262,21.4,0,1.6,0.2,59.5,0.1,17.2
 Man Seok,5293,1,0,0,2.5,0.9,0,95.5
Cha Tae Sik,5301,0.2,0,86.4,0,0.5,0.1,12.9
 Man Seok,5307,3.6,0,0.5,0.1,95.6,0,0.2
Cha Tae Sik,5309,0,0,4.3,0.4,0,0,95.3
Cha Tae Sik,5311,8.7,0,0,5.7,21,0,64.6
 Man Seok,5315,8.4,0,25.3,0,60.3,0,6
Cha Tae Sik,5320,3.9,0,0.1,1.8,39.6,0,54.6
 Man Seok,5322,0,0,3,0,96.9,0,0.1
Cha Tae Sik,5326,1.4,0,0,0.5,15.8,0,82.3
