name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Jeong So Mi,642,33.8,0,0,0,14.3,0,51.9
Jeong So Mi,643,4.4,0,0,0,4.8,0,90.8
Cha Tae Sik,645,69.3,0,0,1.8,9.4,0.6,18.9
Jeong So Mi,649,0,0,0.1,0.1,0,0,99.8
Jeong So Mi,651,0.8,0,0.1,0,14.5,0,84.7
Jeong So Mi,652,0.3,0,0,0.1,0,0,99.5
Jeong So Mi,656,0,0,0,0,0,0,100
Bear,665,8.9,4.2,0.4,0,58.3,0,28.2
Bear,666,2.1,0,0.7,0,56.4,0,40.8
Kim Chi Gon,667,0,0,2.3,0,97.7,0,0
Kim Chi Gon,668,0,0,3.8,0.9,71.9,0,23.4
Kim Chi Gon,669,0,0,37.8,0,62.2,0,0
Kim Chi Gon,670,0.1,0,0,11.8,85,0,3.1
Bear,672,0,0,0,0.1,0,0,99.9
Kim Chi Gon,673,5.2,0,0.4,0,9.7,0,84.8
Bear,675,0,0,0,19.6,0.8,0,79.6
Kim Chi Gon,676,7.6,0,0.1,4.3,35.7,0,52.2
Bear,679,0.6,0,0,0.2,12.9,0,86.3
Kim Chi Gon,679,0,0,0,0,6.6,0,93.4
Kim Chi Gon,686,0,0,0,0,17.6,0,82.4
Kim Chi Gon,687,1,0,0,0,29.3,0,69.7
Kim Chi Gon,688,0,0,0,0,39.6,0,60.3
Bear,691,66.6,0,0.5,0.1,0.9,0,31.9
Man Seok,693,81,0,3.2,0,15.1,0,0.6
Oh Myung Gyu,694,2.4,0,0,0.4,2.3,0,94.9
Man Seok,696,0.1,0,0.5,0,99.3,0,0
Oh Myung Gyu,700,0,0,0,0,99.9,0,0.1
Man Seok,704,83.3,0,6.8,9.6,0.1,0.1,0
Oh Myung Gyu,706,53.3,0,0,0,8.6,0,38.1
Man Seok,709,5.4,0,23.6,0,7.7,0,63.3
Oh Myung Gyu,714,15.4,0,0,0,59.6,0,24.9
Oh Myung Gyu,720,20.9,0,0,0,6.2,0,72.9
Bear,724,7.5,0,0.1,0,61.5,0,30.9
Man Seok,726,7.4,0,3.8,0,88.6,0,0.2
Man Seok,727,91.8,0,0,1,2.3,0,4.9
Bear,728,1.4,0,0,0,5.9,0,92.6
Bear,729,0.6,0,0,0,43.5,0,55.9
Lam Loan,730,8.3,0,0.5,0,43.8,0,47.5
Bear,732,3.4,0,4.2,0,33,2.9,56.6
Oh Myung Gyu,735,0,0,0.9,3.6,6.1,0,89.4
Man Seok,742,9.2,0.1,1.5,16,52.1,0,21.1
Oh Myung Gyu,744,45.4,0,0,0,41.9,0,12.6
Man Seok,754,90,0.6,5.5,0,1.9,0.9,1.1
Oh Myung Gyu,757,4.8,0,0,2.6,31.1,0,61.4
Oh Myung Gyu,761,0.6,0,0,0,4.7,0,94.8
Oh Myung Gyu,762,1.4,0,0,0,7.7,0,90.9
Man Seok,762,22.2,0,37.3,0,40.5,0,0
Oh Myung Gyu,765,92.4,0,0.1,0,5.3,0,2.2
Man Seok,765,8.9,0,90.3,0,0.8,0,0
Oh Myung Gyu,767,9.7,0,3.6,0.9,85.1,0,0.7
Man Seok,767,8.6,0,91.3,0,0.1,0,0
Man Seok,771,18.4,0,0.2,0,21.6,0,59.8
Man Seok,776,91.6,0,0.1,0,2.6,0,5.6
Man Seok,779,0,0,0,0,14.7,0,85.3
Park Hyo Jeong,785,23.7,0,0.9,0.4,64.9,0,10.1
Park Hyo Jeong,789,7.7,0,1.3,0,90,0,1
Nam Seong Sik,791,7.3,0,0.1,0.2,4.3,0,88.1
Park Hyo Jeong,793,0.1,0,0.1,0,99.5,0,0.3
Nam Seong Sik,799,0,0,0,0,0.1,0,99.8
Nam Seong Sik,804,10.7,0,87.6,0.2,1.1,0.3,0.1
Park Hyo Jeong,804,1.5,0,0,12.3,2.5,0,83.7
Nam Seong Sik,805,0.4,0,0,0,1.2,0,98.4
Park Hyo Jeong,805,85.5,0,0.1,9.1,4.4,0,1
Park Hyo Jeong,811,0.7,0,0,9.1,0,0,90.1
Nam Seong Sik,817,0,0,0,0,99.7,0,0.3
Park Hyo Jeong,817,0,0,0,0,0,0,99.9
Park Hyo Jeong,823,14,0.1,2.1,1.1,45.6,0,37.3
Park Hyo Jeong,825,0,0,0,0,100,0,0
Nam Seong Sik,825,0.1,0,0.2,0.1,92.3,0,7.4
Nam Seong Sik,827,0.5,0.2,0.1,0,29.5,0,69.6
Jeong So Mi,833,0.4,0,0.1,0,86,0,13.5
Jeong So Mi,842,1.8,0,0,0,79.6,0,18.6
Jeong So Mi,848,0,0,0.1,0,99.9,0,0
Park Hyo Jeong,859,0.1,0,0,86.3,0,0,13.5
Jeong So Mi,874,13.1,0,76.6,0.4,3.4,1.3,5.2
Cha Tae Sik,892,0,0,0,0.8,99.2,0,0
Cha Tae Sik,896,0.1,0,0,0.2,98.8,0,0.9
Cha Tae Sik,900,0.4,0,0,0,38.3,0,61.3
Cha Tae Sik,901,5.4,0,0,0.1,25.5,0,69
Cha Tae Sik,904,0,0,0,0,100,0,0
Cha Tae Sik,908,0,0,0,0,100,0,0
Cha Tae Sik,914,28.1,0.1,1.3,0,68.3,0,2.2
Cha Tae Sik,915,21.6,0.1,0.1,0,16.7,0,61.5
Jeong So Mi,929,0,0,91.5,0,8.5,0,0
Jeong So Mi,933,36.8,0,0,0.1,33.5,0.2,29.5
Cha Tae Sik,939,20.6,0,0,0.1,46.4,0.3,32.6
Jeong So Mi,942,0.5,0,53.3,1.5,0.1,44,0.6
Cha Tae Sik,945,3.8,0,0.1,0.5,91,0.1,4.6
Cha Tae Sik,946,47.3,0,0.2,0.2,45.3,0.4,6.5
Jeong So Mi,952,0,0,0,0,99.9,0,0
Jeong So Mi,953,0,0,35.2,0,64.8,0,0
Jeong So Mi,954,16.6,0,0.6,0,77.6,0,5.1
Cha Tae Sik,957,6.5,0,0.3,0.2,16.7,0,76.3
Jeong So Mi,960,0,0,11.2,3.1,85.7,0,0
Cha Tae Sik,971,29.4,0,0.4,0,58.3,0,11.9
Cha Tae Sik,974,0,0,0,0,100,0,0
Jeong So Mi,975,3.4,0,0.7,0,95,0,0.9
Cha Tae Sik,1009,0,0,0,0,3.1,0,96.9
